tweet_id,airline_sentiment
569716594731044865,neutral
569337064484962304,negative
569651366018166784,negative
569691772000931840,negative
569525641759993856,neutral
569962709057298432,negative
570256553502068736,positive
569280669593038848,negative
570235609933078529,negative
569917442455175168,neutral
570050603851710464,positive
569968023592943616,neutral
569684137755459584,neutral
568473140654788609,negative
568468409471492096,positive
569134718396051456,positive
569977887136342016,negative
570007457055055873,negative
569201109400555520,neutral
569318130356502528,positive
569345076406693888,negative
568469645843279872,positive
569601094239825920,negative
569518200410546176,negative
569358195862462464,negative
568841635049533440,negative
570264011574415360,positive
569476889313562624,positive
569541591586643968,negative
569675861160386560,negative
568139144515313664,negative
567836728100200449,neutral
569646446586171392,negative
568391878871285760,positive
569162211748245504,negative
569524310186061824,neutral
569597666025345024,negative
568066878192508928,negative
568238605036064768,negative
570245513720647680,negative
570057871058079745,negative
568568593262231552,neutral
569310070825226241,positive
567927725815496704,negative
567737909072367616,positive
568894073345437697,neutral
568929851379478529,negative
569371693602476032,negative
569851498118516736,neutral
570282469791911936,positive
567769879759962112,positive
569882324713783296,negative
569684963777503232,negative
569551241967067136,negative
569642419307864064,negative
569890859526823936,negative
568466243210108928,negative
569825634295230466,negative
570190092213465089,negative
568849739346608128,negative
568603081274986496,negative
569560151100821504,negative
568189481590886400,negative
569708004075044864,negative
570077847672328192,negative
569332086345220096,negative
569595123799101440,negative
570048851295383552,negative
569873664612704256,neutral
569180541662027779,positive
569351618522705920,positive
569733572606763008,negative
569130620963696640,positive
569971648876584960,negative
568997237176569856,negative
569591653121597440,negative
568678201590996992,negative
568475947617411072,neutral
567760693643214848,neutral
570009129579900928,negative
569627624617611264,neutral
569327949553520640,negative
569890836361580544,positive
568633534627381248,negative
567881305754595328,positive
570288039454486529,negative
569184069734395906,neutral
569927842173050881,positive
569894356393570304,negative
570001601072652288,neutral
570272880556011520,positive
570058295689523200,negative
568902419972694016,negative
569258100324048900,negative
569703468736376832,negative
568112409841238016,negative
568890074164809728,neutral
569900867324932096,negative
570038564110467074,negative
569588082284101633,negative
569366184904122369,negative
569372340309651457,negative
570043569605648385,neutral
570048915518533634,neutral
569235727558447105,negative
569624299788750848,negative
569866461172387841,negative
568062811856703489,negative
568773776638406656,negative
568421124201017345,neutral
569330006985347072,negative
568840215089041409,negative
568037876761546753,negative
568085705479618560,negative
569604330229092352,negative
570216086173581312,negative
568610311487561728,positive
570286359983886336,negative
569252759087685632,positive
569668606142783488,positive
570284054605639683,negative
569889833297915904,negative
569489114707431424,positive
568797768162127872,positive
569728283568418816,negative
569964286954618880,neutral
569666679963312129,negative
568105051622756352,negative
569598915722518528,negative
569380923847909376,neutral
569710260136640512,negative
569786249508048896,negative
568155933832044544,positive
569724056645140480,negative
568611276026351618,negative
568925181848227840,neutral
569639784819372032,negative
568602309703249921,neutral
570121689503301632,negative
569893988846546945,neutral
568088470712950784,negative
568620542682468352,neutral
569088814184079361,negative
569699455919726593,negative
568910880416464897,negative
569196231546830848,negative
569721779645767680,positive
569933275436707840,negative
568836930550534145,positive
569588138273865728,negative
567757851104641024,negative
570145544078815232,negative
569616576481267712,neutral
568599168949886977,negative
567772568833503233,neutral
567794017593991169,negative
569282692014977025,positive
568131853929947136,neutral
568649338005487618,neutral
569604659712811009,negative
569537485761433600,negative
569578016843669504,negative
570003111772692480,positive
570009743160254464,negative
570081568733192192,negative
568002085888897025,negative
569923360982900737,negative
568179392293281792,neutral
570303383782989824,negative
569333461401481216,positive
570019741806538752,negative
568173792406740994,neutral
570301395141836801,neutral
568523935853051906,negative
569028851860254720,neutral
569596097540132864,negative
568868127364096000,negative
568561033641480192,positive
570040162840907776,neutral
569661233923629056,negative
570024174162485251,negative
568823143789416449,negative
568491094327078912,neutral
569838593423708160,negative
569667602148151296,neutral
569168028014743552,negative
568672467889176577,negative
569328755409326080,negative
567725676958998528,neutral
569620017840398337,negative
568429062642929664,neutral
569650294746820609,negative
567780888700669952,neutral
569950724983025665,positive
569495331399995392,negative
567875147941552128,negative
569167347996495872,negative
570204088908034049,negative
570028289399525376,negative
568547201208565760,positive
568810874204327936,negative
569313760864632832,neutral
569617494908002304,negative
569622568459636736,negative
569610542723309568,negative
569533479362408448,negative
569246786440830977,negative
569904370361483264,neutral
569933646385188864,negative
568776950665371648,negative
567810683485753344,neutral
567777885277405184,neutral
568777504368005120,positive
567803969235390464,positive
570279787287093248,neutral
568810180269494272,negative
567737598115082241,positive
568988757954678784,negative
569852965315584000,positive
568538242380742656,negative
567812369902133248,neutral
570307390752608257,negative
568116895305617409,positive
570253919697244160,negative
568493336698490880,negative
569380098119499776,negative
567794573495250944,negative
568481836290220033,negative
569293499968950272,negative
569495653526724608,neutral
569675799122591746,negative
568055034296049664,negative
569186177238110208,negative
569456035930484737,positive
568017135236022273,neutral
567831160978677760,negative
567803109687443456,neutral
569638678194040832,negative
569605258621661184,negative
567878078782898176,positive
569858655086120961,negative
569931716049154051,neutral
569698937281470464,neutral
568577243200376833,neutral
568250065845944321,neutral
569617777075625986,negative
567831806944223232,negative
568213769098108928,positive
569687343403106304,neutral
569847920192655361,negative
569685581787205632,positive
569914894868328448,neutral
569963701794516992,negative
568110568097374208,negative
569971374820884481,negative
569642730932064256,positive
568880146284982272,negative
569659620517662721,negative
569154129362186240,negative
569413676337274880,positive
569941050002972672,negative
570050881879568384,negative
569232560330555393,negative
567680108002291712,negative
570079030029848579,negative
569633323997212672,neutral
570057178687475712,negative
569758821310017536,negative
567806501402976257,neutral
569910528279228416,negative
569944281512685570,negative
569505407862902784,negative
568423284401836032,negative
567745362727686145,negative
569649006986407936,neutral
568845241526038528,neutral
568138996112445440,negative
570264306350227456,positive
569303931916038144,positive
568788947859607552,negative
569942094766325762,neutral
568811854216105984,neutral
567781757274292224,negative
569727727881682944,negative
569659230929555456,negative
570165459783450624,negative
569817130801221632,negative
570297070998974464,negative
569593694963310593,neutral
568778553933889536,neutral
570123304498917377,negative
569935135895883776,negative
569459455273897984,negative
568476370130628608,negative
569675527662874624,negative
568927427847544833,negative
568534114527113216,positive
567722664597286913,negative
568612911222026241,negative
569275466936397825,negative
569678905344270336,positive
568192271453188096,negative
569903840507506688,positive
569704587315138560,positive
570072153607049218,neutral
568911099740839936,positive
568480654347935745,neutral
569894035797753856,negative
569223788639821824,negative
568436081303158784,negative
570074662086045696,negative
570276434763128833,negative
569489006955769856,negative
570240647678050304,neutral
568056665821413376,positive
569153098595192832,negative
569464902164856832,negative
567918173992910848,negative
568859157253611520,negative
567923103080275968,positive
567864588521381888,negative
570271209822294016,neutral
567768306799882241,neutral
568438000843034624,positive
569606226880929792,negative
567825347439370240,negative
569679759250038784,negative
568187725834289152,positive
568257389402710016,negative
568497542100586497,positive
567890765134852096,negative
568628841431867392,neutral
568174745293709313,neutral
570077234570010624,neutral
570268326250745856,negative
569613537158373376,neutral
568806899275018241,negative
570081545211375616,negative
570174794425098241,negative
569613601918492672,negative
570277221916647425,negative
569969456190869504,negative
569155666440355840,negative
568774320773849088,neutral
568917786921009153,neutral
570091033368899584,negative
569272359334453249,negative
569929677571166208,neutral
570082819025838080,neutral
568108322924191744,positive
570175858469515264,negative
568086156899966976,positive
570251909447192577,negative
568155246616121344,positive
570100829396406272,positive
569340749466226688,negative
569233260108124160,negative
569522307657388032,neutral
570205399619661824,positive
569550230376423424,neutral
569538703732772864,negative
570006886012973056,positive
570016052895092736,negative
569221589822083072,negative
569495613173309441,negative
569513151517073408,negative
569982307634794497,neutral
569635382834421761,negative
569277733416513536,negative
567837218628362241,neutral
569629346777968640,negative
570254368538173440,negative
568434959226179585,neutral
570272714205863936,negative
569341769114128386,negative
567824271234592769,negative
567851359178989568,negative
569715341259104256,neutral
568839278681174016,neutral
568648390738706432,negative
567756837320392705,negative
570211016308596736,neutral
569553741222952960,negative
569620643810926592,negative
570249440176570368,negative
568801885567606784,negative
567766410169954304,negative
570199267668676609,negative
569969218306904067,negative
569674873787658240,neutral
568823817679847425,negative
569651470615887872,negative
568225310753353728,negative
569935261947330560,neutral
569564566272811008,neutral
568521960088449025,negative
568636400419151873,positive
569008601009762305,negative
568893092927029249,negative
569869514944466945,negative
570119247982137344,negative
568561924985782272,positive
568792664931508225,positive
570106900970221568,negative
567782794261438466,negative
569667173544812546,neutral
567752542491516928,negative
568174802059464705,negative
568821261767303168,negative
568222976744824832,positive
568951462413209601,negative
568149201466617856,negative
569531827989454848,negative
569811246096064512,negative
567728357555437568,negative
569538857328353280,negative
569691144897953793,negative
568880030123745280,neutral
569949968750010370,negative
569693808914522113,negative
568815354388078593,negative
568558478039625728,negative
568958227888500736,negative
567830303121870848,neutral
569270187725160449,negative
569745528382038016,negative
568496575716175872,negative
567772770604298240,positive
569242425530712064,negative
569830265364701184,negative
567908702088376320,negative
567711860938772480,positive
570264145116819457,neutral
569596394819883008,negative
569594354924425216,negative
569587686496825344,positive
567818953881419776,negative
568955124300820480,positive
569244295921692672,negative
569621365634015232,negative
567875922906456064,neutral
569525811704934401,negative
569248721139048448,positive
569204914649489408,negative
569949655905263616,neutral
569381443257958401,positive
570239165675249666,neutral
569967925416886273,negative
569608734332162048,negative
568379326678368256,positive
569706320212787200,negative
569895516139421696,negative
569633482915209216,negative
568174911841177600,negative
568621210986090497,positive
570001825358860289,negative
569341791482220545,positive
569914488541069312,positive
569839419211034624,negative
569586471570534400,negative
568101444391276544,negative
568383474303959041,neutral
569225573773369344,negative
568177521327509504,negative
568158427664527360,negative
569524116769914882,negative
568230023251042304,neutral
570235244999270400,negative
569857504768757760,neutral
569560386548006912,neutral
569285184605986816,negative
570068466717237249,neutral
569698085821001728,negative
567813042576199680,negative
569225489329598464,negative
569661321744134144,negative
569625606536732672,neutral
568155954484797442,negative
569503165713948672,negative
570235413224427520,positive
569943022474956802,negative
569153841083625473,negative
567790572833103872,negative
568188595456118785,positive
569701178054811648,negative
569311935835062272,negative
569435214717562881,negative
569876152036290560,neutral
568814123540221952,negative
568882601261273089,negative
569628591475924994,negative
567940050186604545,negative
568839596261249024,neutral
568232942612447232,positive
570254721140850689,neutral
568771007529398272,neutral
570247748286435328,negative
569780939280093185,neutral
570234625848696833,neutral
569850899310358531,neutral
568192942088843264,negative
568592520659267584,negative
569549922569224192,negative
568111819325366273,neutral
569621879633391616,negative
568518985056002049,negative
569657504273027073,negative
569017194564096000,negative
568370280415899648,neutral
569747411779735552,negative
568075934609346560,negative
569888280793063424,positive
569795284764532736,negative
569863194929471488,negative
567748407070953472,neutral
568870144891600896,positive
569973337050341376,negative
568605449659895808,positive
567781607797305345,neutral
568514213921947648,neutral
570061921145065473,negative
569488002361249792,negative
569886919833874432,negative
568576763212619777,negative
569507522412986368,negative
570284862122233856,negative
569961203197325312,negative
569865190822572033,positive
569887452384481280,negative
568417751854931968,negative
569083604216623104,neutral
568392783922372608,neutral
569921646057926656,negative
569497092655345664,negative
569273251186286593,negative
569717866611630081,positive
569083218554519552,neutral
569900699988860928,positive
569359788120907776,positive
567746576626356225,neutral
569558153202774016,neutral
570271383005085696,negative
568502112457510912,neutral
569847852605812737,negative
569755876401274880,neutral
567710245053407232,negative
569939924964630528,neutral
570264948548313088,positive
569206566035042305,negative
569995513623408641,negative
568802105005346817,neutral
569885487508418560,negative
568831574474661888,positive
568031932719566849,positive
567864939349557248,negative
569874374741925889,negative
569168696083656705,negative
568137336095170560,negative
568337096177528832,negative
569509671213662208,neutral
569153207148150785,negative
570012549631975424,negative
569890681361186818,negative
569777772115193856,neutral
569673582609088512,negative
569381811278770176,negative
569520929128251392,negative
569319928815202304,positive
569597962659110913,negative
569599978722746368,negative
568417151176060929,negative
567813037454917632,neutral
570208115205021696,positive
569899203339657217,negative
567791786145378304,negative
570222495145406465,negative
567984939221852160,negative
569117839308800001,negative
569938845111848961,neutral
568239444500865025,positive
569491346647445505,neutral
568473862083461121,negative
567872044030918657,positive
569951384390344704,negative
569165652876881920,neutral
569940199842525184,negative
568808975828955136,negative
567861067088596993,neutral
568888623787089920,negative
569310249859080192,negative
569640038302134273,negative
569598072923123712,negative
569989178651508737,negative
570135402306080768,negative
569686415665025024,neutral
569266679903080448,negative
570291213007491076,negative
568767144407789569,negative
567745507834220546,negative
567817897893982208,neutral
568222090769379328,negative
567778606546694144,negative
569684433218875392,negative
568937199145783297,negative
568456334581981184,negative
568731988082999296,neutral
568517565548339200,neutral
570055898367799296,negative
570142665246965760,positive
569595309279440896,neutral
568556238012678144,neutral
569574646229684224,negative
569576074050473984,neutral
569832363527708674,negative
569248843532886016,positive
567872392116191233,negative
568389266155438080,neutral
569935956880420864,neutral
569783738210525184,neutral
568438645591384064,negative
569345701487906818,neutral
568751950935691265,neutral
569595791355981825,neutral
567805465854488579,neutral
569975349750079488,negative
569172396680175616,negative
569908080114339840,neutral
568853440794730496,neutral
570298679250305024,negative
570298285350629376,negative
569514430393913344,negative
569642078990258176,negative
568237684277141504,negative
568434307989159936,negative
569465299495358466,negative
570002679142854656,neutral
569663687948181504,negative
570298644475346945,negative
569952718707687424,positive
567799259224940544,neutral
568875530671554561,neutral
567832862130577408,negative
569616634601717760,negative
568216286561374208,negative
570001906199887872,negative
569226157901684736,negative
569861209781989377,neutral
569926859699437568,negative
567820647465803776,negative
570003289326157824,neutral
568920314073260032,negative
568994507074772992,negative
568582374549807104,negative
568416493446270976,negative
569358458404802561,positive
569373511455776768,neutral
568585196699664384,neutral
570291934306168834,neutral
569574711899922433,positive
567857402340450305,negative
569685606202093570,negative
569673473607344128,neutral
568926716644745216,positive
570089091276128258,negative
570253313368698883,negative
568161997935607808,negative
569642145977479169,negative
567848544893169664,negative
569955742276407297,neutral
569618309357940737,neutral
569947414263701505,neutral
569328854948573187,negative
569872058613673984,positive
569894449922252800,negative
569620354781425665,negative
567741202884075520,neutral
570275536406253568,negative
569713494821482498,negative
567727701620822016,neutral
568159685238329344,negative
568235890205532160,neutral
569212457706782720,neutral
569346317706768385,neutral
568234670166568960,neutral
569376145000390656,negative
569100490027499520,negative
570001601055883265,neutral
569534939642925058,neutral
570292715444965377,positive
570171986648965120,negative
567767341090361344,neutral
568222514956013568,negative
568527292135133184,negative
568425317028610049,neutral
569951363670642689,positive
570049018820042752,neutral
568124227641065472,neutral
569248084934443010,negative
569674294411669504,negative
570297970891075584,positive
569149358802759680,positive
569716670689902592,negative
569618884577218560,negative
569348268154609664,positive
568076556997775360,neutral
569838878049345536,neutral
569709103188197376,negative
569659646916440065,positive
569288530419175424,negative
569229091657936896,negative
568059129601724416,neutral
569899859995693056,negative
569846023553720321,negative
569580001672237056,neutral
568186350219821057,neutral
569554727572099072,negative
569557964991930368,negative
570000158454353920,negative
569588651925098496,positive
569558235897688064,positive
568232493779824640,neutral
569342888615620609,negative
569623852403306496,negative
569975778953142272,negative
569605930146353152,negative
569678397158268929,positive
569634364780351488,neutral
569909655813500928,negative
569534268130660352,neutral
568434509017960449,negative
569772867774230528,negative
569605359406485504,negative
570297414848000000,neutral
569338605057015808,negative
567754504817606656,negative
568526769373859841,positive
567692504397803520,neutral
569301025280167936,neutral
568438312177762304,positive
569700635152494592,negative
568424704597467137,neutral
568115946738597888,negative
567733946717196288,neutral
568444203883204608,negative
568795746721513472,neutral
569882542855352320,negative
569300435091251200,negative
569611341394264064,negative
569989039874404352,neutral
568538790244909056,positive
569598314825555968,negative
569096764835414016,negative
569804677472251904,negative
569623415767871489,negative
568607425047240704,negative
569575176322424832,negative
569305239834136576,negative
567733847132229632,positive
568832749093687296,negative
570195799256072193,positive
569629537400696832,neutral
570063450174464000,negative
568360334609612801,negative
568897013997289472,neutral
568499384704479233,positive
569640574971715584,negative
569342220534288384,negative
569603357406576641,negative
567741610373685250,neutral
568094172508336128,positive
569094744615157760,negative
568830614289252352,neutral
570193464467570688,negative
569623156337586177,negative
569669921258409985,negative
569643388611330048,negative
567722844319404033,neutral
569872455377879040,negative
569374127187820545,negative
568870473934761985,negative
570084406204997632,negative
569671332092252160,negative
569346870423769088,positive
567860313883693056,neutral
569700953164615681,negative
569662145886957568,negative
569471837614137344,negative
570043937244622849,neutral
569699171868938241,negative
569978876861902848,negative
569687410969321472,negative
569986978684362753,negative
567881459161260032,negative
568623037962039297,negative
568570905690898432,negative
569251768770502656,neutral
568809407120855041,negative
569604208661409792,negative
569457148129779714,negative
568818669024907264,negative
569268243854192640,negative
568814284680994816,negative
570073592848715776,negative
569294599614803968,negative
570274417546113025,negative
567936625453318144,negative
569564671688118273,negative
569181132685574144,neutral
570203218686423041,negative
569630106940895233,negative
568492682152189952,neutral
570246800247902208,neutral
569927792781086720,positive
569163885393154048,negative
568781819233091584,positive
570045585149063168,negative
569578297945919488,negative
569278858123300864,positive
569913838746742784,neutral
569197921150902272,negative
568924781837455360,negative
569197579956842496,negative
568542364207325185,positive
569927476463452160,positive
570265919676485632,positive
569525270907981825,negative
569716576850731008,negative
569685644449964032,negative
569559311095095296,neutral
569564610837086209,negative
569643301332258817,negative
568895050601508865,negative
568735475847950336,neutral
567764010812985344,neutral
569539074106789889,neutral
569345693770502144,negative
569188792541818880,negative
569627477200535552,neutral
568857976733376512,positive
569418233322872833,negative
569287489883500545,neutral
569580805036453888,positive
567800823674310658,negative
569480693782339584,negative
569977521690669056,positive
569541478244089857,negative
569545779079094272,negative
569630229636853761,negative
568086132346322945,neutral
569759892803756032,neutral
570102866754592768,negative
569654946179579904,negative
569358953567670272,negative
569629692661268480,positive
570263889696305152,negative
569910299983130625,negative
567741692854276096,neutral
568982505551851520,negative
569650936911683586,negative
569605604416888832,negative
569624621047111680,negative
570239998383038464,neutral
570281275216367616,neutral
569541545029804034,negative
570001092206923776,negative
569406451980091392,neutral
569260366221348864,negative
569222494952886272,positive
569248702092541952,negative
569828681297870848,negative
569903268312125440,negative
570096448571731968,negative
569660442408321024,negative
570268875872473088,negative
569226228152053760,negative
567753071833665536,negative
568832907525152769,negative
569665976062644224,negative
568847512372514816,neutral
569597663953293312,negative
570299824760860672,positive
568170794670551040,negative
567588278875213824,neutral
569351220097216512,negative
569484400594952192,negative
569939391277350912,negative
567898499540340736,negative
568513003307429888,positive
568895587900207104,neutral
568503887113498625,negative
569908792776892416,negative
567783456420012032,neutral
569495604944089088,positive
569877658286186496,neutral
567771317705773056,neutral
569801089022734336,negative
567778498723737600,negative
567729135733465088,negative
569682228269068288,negative
570257429486706688,negative
570266640614498304,neutral
569588464896876545,negative
570299924555956227,neutral
569254571622727682,neutral
569238877178716161,negative
568116768868159488,negative
568863640721477632,negative
567844362601697280,positive
569693820398510080,negative
568145883679875072,negative
569516377524076544,negative
570203916643766273,positive
568957001658724353,negative
567902121992921088,negative
570233869212856320,positive
569651818453708800,negative
570240625536323585,negative
568451219477250048,negative
567784912011689984,positive
570276681551732736,negative
568788152955092992,negative
568245360998658048,positive
569278020441284608,neutral
569658878939410432,neutral
569687399426617344,negative
569265728408440833,positive
570187080426397696,negative
569221210019487745,positive
569746687805095936,negative
568191343769620480,neutral
568440180769746946,positive
568457140894969856,neutral
569715248720007169,negative
569270012894060545,negative
570058070224728064,negative
569230997650214913,negative
568910220644237312,negative
568872365146251264,negative
569651226280751105,negative
569569639543541762,negative
570285465145876480,negative
567734499669454848,negative
569690433996984320,negative
568468372524023808,negative
569600720254541824,negative
569272738826694656,neutral
569971216934526976,negative
570298117544906754,negative
569991295776595968,negative
569590892085915649,negative
569645048696053761,negative
569907782108839938,negative
568818512191471616,positive
570244951914782721,negative
570053734639792129,negative
568107816923340800,neutral
569205367575441408,positive
567856962521661440,positive
568140092453179394,positive
570060752926728192,neutral
569724705063596032,negative
569608322925473792,negative
569604198033170432,negative
569914369905201153,negative
568069363280035840,negative
569706754025660417,negative
569830532516868097,negative
568129652625158147,negative
567727526777073664,positive
569526960268963840,negative
569844028365275136,negative
567812349895245824,negative
